author_full,journal,volume,year,pages,publisher,paperid,doi,author,url,type,title,journal_full,issue,page
"Ankam Bhaskar, J.J. Yuan, Chia-Jyi Liu,",Materials Science and Engineering: B,186,2014,48-53,Elsevier BV,3914,10.1016/j.mseb.2014.03.009,"A. Bhaskar, J. Yuan, C. Liu,",http://dx.doi.org/10.1016/j.mseb.2014.03.009,article-journal,"The effects of Si doping on the thermoelectric and magnetic properties of Ca0.98Bi0.02Mn1−xSixO3−δ with x=0.00, 0.02 and 0.03",Materials Science and Engineering: B,,48
"Koya Arai, Asumi Sasaki, Yuto Kimori, Miharu Iida, Tomoyuki Nakamura, Yuki Yamaguchi, Kenjiro Fujimoto, Ryuji Tamura, Tsutomu Iida, Keishi Nishio,",Materials Science and Engineering: B,195,2015,45-49,Elsevier BV,3917,10.1016/j.mseb.2015.01.008,"K. Arai, A. Sasaki, Y. Kimori, M. Iida, T. Nakamura, Y. Yamaguchi, K. Fujimoto, R. Tamura, T. Iida, K. Nishio,",http://dx.doi.org/10.1016/j.mseb.2015.01.008,article-journal,Thermoelectric properties of Sb-doped Mg2(Si0.95Ge0.05) synthesized by spark plasma sintering,Materials Science and Engineering: B,,45
"Yu Pan, Tian-Ran Wei, Qian Cao, Jing-Feng Li,",Materials Science and Engineering: B,197,2015,75-81,Elsevier BV,3918,10.1016/j.mseb.2015.03.011,"Y. Pan, T. Wei, Q. Cao, J. Li,",http://dx.doi.org/10.1016/j.mseb.2015.03.011,article-journal,Mechanically enhanced p- and n-type Bi2Te3-based thermoelectric materials reprocessed from commercial ingots by ball milling and spark plasma sintering,Materials Science and Engineering: B,,75
"Chia-Cheng Hsu, Hsiao-Kang Ma,",Materials Science and Engineering: B,198,2015,80-85,Elsevier BV,3919,10.1016/j.mseb.2015.03.015,"C. Hsu, H. Ma,",http://dx.doi.org/10.1016/j.mseb.2015.03.015,article-journal,Microstructure and thermoelectric properties in Fe-doped ZrCoSb half-Heusler compounds,Materials Science and Engineering: B,,80
"Anatolij Druzhinin, Igor Ostrovskii, Iurii Kogut,",Materials Science in Semiconductor Processing,9,2006,853-857,Elsevier BV,3939,10.1016/j.mssp.2006.08.070,"A. Druzhinin, I. Ostrovskii, I. Kogut,",http://dx.doi.org/10.1016/j.mssp.2006.08.070,article-journal,Thermoelectric properties of Si–Ge whiskers,Materials Science in Semiconductor Processing,4-5,853
"Ananya Banik, Kanishka Biswas,",Materials Science in Semiconductor Processing,27,2014,593-598,Elsevier BV,3941,10.1016/j.mssp.2014.07.052,"A. Banik, K. Biswas,",http://dx.doi.org/10.1016/j.mssp.2014.07.052,article-journal,Low-temperature soft-chemical synthesis and thermoelectric properties of barium-filled p-type skutterudite nanocrystals,Materials Science in Semiconductor Processing,,593
"Ashoka Bali, Raju Chetty, Ramesh Chandra Mallik,",Materials Science in Semiconductor Processing,34,2015,326-333,Elsevier BV,3943,10.1016/j.mssp.2015.02.053,"A. Bali, R. Chetty, R. Chandra Mallik,",http://dx.doi.org/10.1016/j.mssp.2015.02.053,article-journal,Thermoelectric properties of Pb0.75−xMnxSn0.25Te alloys with variable manganese content,Materials Science in Semiconductor Processing,,326
"Tomoya Nagira, Mikio Ito, Shigeta Hara,",Mater. Trans.,45,2004,1339-1345,Japan Institute of Metals,3949,10.2320/matertrans.45.1339,"T. Nagira, M. Ito, S. Hara,",http://dx.doi.org/10.2320/matertrans.45.1339,article-journal,Effect of Partial Substitutions of Rare-earth Metals for Na-site on the Thermoelectric Properties of Na<SUB><i>x</i></SUB>Co<SUB>2</SUB>O<SUB>4</SUB> Prepared by the Polymerized Complex Method,MATERIALS TRANSACTIONS,4,1339
"Yuma Horio, Hiroyuki Yamashita, Takahiro Hayashi,",Mater. Trans.,45,2004,3309-3313,Japan Institute of Metals,3952,10.2320/matertrans.45.3309,"Y. Horio, H. Yamashita, T. Hayashi,",http://dx.doi.org/10.2320/matertrans.45.3309,article-journal,Microstructure and Thermoelectric Properties of Hot-Pressed p-Type Bi<sub>0.5</sub>Sb<sub>1.5</sub>Te<sub>3</sub> Alloys Prepared by Rapid Solidification Technique,MATERIALS TRANSACTIONS,12,3309
"Jun Jiang, Lidong Chen, Qin Yao, Qun Wang,",Mater. Trans.,46,2005,959-962,Japan Institute of Metals,3954,10.2320/matertrans.46.959,"J. Jiang, L. Chen, Q. Yao, Q. Wang,",http://dx.doi.org/10.2320/matertrans.46.959,article-journal,Preparation and Properties of p-Type (Bi<SUB>2</SUB>Te<SUB>3</SUB>)<I><SUB>x</SUB></I>(Sb<SUB>2</SUB>Te<SUB>3</SUB>)<SUB>1&minus;<I>x</I></SUB> Thermoelectric Materials,MATERIALS TRANSACTIONS,5,959
"Peixin Zhu, Takahiro Takeuchi, Hiromichi Ohta, Won-Seon Seo, Kunihito Koumoto,",Mater. Trans.,46,2005,1453-1455,Japan Institute of Metals,3955,10.2320/matertrans.46.1453,"P. Zhu, T. Takeuchi, H. Ohta, W. Seo, K. Koumoto,",http://dx.doi.org/10.2320/matertrans.46.1453,article-journal,Preparation and Thermoelectric Properties of Na<I><SUB>x</SUB></I>CoO<SUB>2</SUB>/Co<SUB>3</SUB>O<SUB>4</SUB> Layered Nano-Composite,MATERIALS TRANSACTIONS,7,1453
"Mikio Ito, Tomoya Nagira,",Mater. Trans.,46,2005,1456-1461,Japan Institute of Metals,3956,10.2320/matertrans.46.1456,"M. Ito, T. Nagira,",http://dx.doi.org/10.2320/matertrans.46.1456,article-journal,"Effect of the Polymerized Complex Process on Doping Limit of Thermoelectric Na<I><SUB>x</SUB></I>Co<SUB>1&minus;<I>y</I></SUB>M<I><SUB>y</SUB></I>O<SUB>2</SUB> (M=Mn, Ni)",MATERIALS TRANSACTIONS,7,1456
"Hiroaki Muta, Akihiro Ieda, Ken Kurosaki, Shinsuke Yamanaka,",Mater. Trans.,46,2005,1466-1469,Japan Institute of Metals,3958,10.2320/matertrans.46.1466,"H. Muta, A. Ieda, K. Kurosaki, S. Yamanaka,",http://dx.doi.org/10.2320/matertrans.46.1466,article-journal,Thermoelectric Properties of Lanthanum-Doped Europium Titanate,MATERIALS TRANSACTIONS,7,1466
"Hiroshi Mori, Hiroaki Anno, Kakuei Matsubara,",Mater. Trans.,46,2005,1476-1480,Japan Institute of Metals,3959,10.2320/matertrans.46.1476,"H. Mori, H. Anno, K. Matsubara,",http://dx.doi.org/10.2320/matertrans.46.1476,article-journal,Effect of Yb Filling on Thermoelectric Properties of Ge-Substituted CoSb<SUB>3</SUB> Skutterudites,MATERIALS TRANSACTIONS,7,1476
"Masahiro Hokazono, Hiroaki Anno, Kakuei Matsubara,",Mater. Trans.,46,2005,1485-1489,Japan Institute of Metals,3960,10.2320/matertrans.46.1485,"M. Hokazono, H. Anno, K. Matsubara,",http://dx.doi.org/10.2320/matertrans.46.1485,article-journal,Effect of Cu Substitution on Thermoelectric Properties of Ge Clathrates,MATERIALS TRANSACTIONS,7,1485
"Ken Kurosaki, Atsuko Kosuga, Hiroaki Muta, Shinsuke Yamanaka,",Mater. Trans.,46,2005,1502-1505,Japan Institute of Metals,3962,10.2320/matertrans.46.1502,"K. Kurosaki, A. Kosuga, H. Muta, S. Yamanaka,",http://dx.doi.org/10.2320/matertrans.46.1502,article-journal,Thermoelectric Properties of Thallium Compounds with Extremely Low Thermal Conductivity,MATERIALS TRANSACTIONS,7,1502
"Kazuhiro Hasezaki, Masaki Itoh, Hiroyuki Kitagawa, Hiroyuki Noguchi, Shigetoshi Sota, Yasutoshi Noda,",Mater. Trans.,46,2005,1938-1941,Japan Institute of Metals,3965,10.2320/matertrans.46.1938,"K. Hasezaki, M. Itoh, H. Kitagawa, H. Noguchi, S. Sota, Y. Noda,",http://dx.doi.org/10.2320/matertrans.46.1938,article-journal,Numerical Analysis of Thermoelectric Properties on Bi<SUB>88</SUB>Sb<SUB>12</SUB>,MATERIALS TRANSACTIONS,8,1938
"Tatsuhiko Aizawa, Renbo Song, Atsushi Yamamoto,",Mater. Trans.,47,2006,1058-1065,Japan Institute of Metals,3969,10.2320/matertrans.47.1058,"T. Aizawa, R. Song, A. Yamamoto,",http://dx.doi.org/10.2320/matertrans.47.1058,article-journal,"Solid State Synthesis of Ternary Thermoelectric Magnesium Alloy, Mg<SUB>2</SUB>Si<SUB>1&minus;<I>x</I></SUB>Sn<I><SUB>x</SUB></I>",MATERIALS TRANSACTIONS,4,1058
"Hirokazu Suzuki, Haruhiko Udono, Isao Kikuma,",Mater. Trans.,47,2006,1428-1431,Japan Institute of Metals,3970,10.2320/matertrans.47.1428,"H. Suzuki, H. Udono, I. Kikuma,",http://dx.doi.org/10.2320/matertrans.47.1428,article-journal,Thermoelectric Properties of Solution Grown &beta;-FeSi<SUB>2</SUB> Single Crystals,MATERIALS TRANSACTIONS,6,1428
"Ken Kurosaki, Keita Goto, Atsuko Kosuga, Hiroaki Muta, Shinsuke Yamanaka,",Mater. Trans.,47,2006,1432-1435,Japan Institute of Metals,3971,10.2320/matertrans.47.1432,"K. Kurosaki, K. Goto, A. Kosuga, H. Muta, S. Yamanaka,",http://dx.doi.org/10.2320/matertrans.47.1432,article-journal,Thermoelectric and Thermophysical Characteristics of Cu<SUB>2</SUB>Te-Tl<SUB>2</SUB>Te Pseudo Binary System,MATERIALS TRANSACTIONS,6,1432
"Takeyuki Sekimoto, Ken Kurosaki, Hiroaki Muta, Shinsuke Yamanaka,",Mater. Trans.,47,2006,1445-1448,Japan Institute of Metals,3972,10.2320/matertrans.47.1445,"T. Sekimoto, K. Kurosaki, H. Muta, S. Yamanaka,",http://dx.doi.org/10.2320/matertrans.47.1445,article-journal,Thermoelectric and Thermophysical Properties of TiCoSb-ZrCoSb-HfCoSb Pseudo Ternary System Prepared by Spark Plasma Sintering,MATERIALS TRANSACTIONS,6,1445
"Yun Lu, Mitsuji Hirohashi, Kenkichi Sato,",Mater. Trans.,47,2006,1449-1452,Japan Institute of Metals,3973,10.2320/matertrans.47.1449,"Y. Lu, M. Hirohashi, K. Sato,",http://dx.doi.org/10.2320/matertrans.47.1449,article-journal,Thermoelectric Properties of Non-Stoichiometric Titanium Dioxide TiO<SUB>2&minus;<I>x</I></SUB> Fabricated by Reduction Treatment Using Carbon Powder,MATERIALS TRANSACTIONS,6,1449
"Hiroaki Muta, Takanori Kanemitsu, Ken Kurosaki, Shinsuke Yamanaka,",Mater. Trans.,47,2006,1453-1457,Japan Institute of Metals,3974,10.2320/matertrans.47.1453,"H. Muta, T. Kanemitsu, K. Kurosaki, S. Yamanaka,",http://dx.doi.org/10.2320/matertrans.47.1453,article-journal,Substitution Effect on Thermoelectric Properties of ZrNiSn Based Half-Heusler Compounds,MATERIALS TRANSACTIONS,6,1453
"Rika Matsumoto, Noboru Akuzawa, Yoichi Takahashi,",Mater. Trans.,47,2006,1458-1463,Japan Institute of Metals,3975,10.2320/matertrans.47.1458,"R. Matsumoto, N. Akuzawa, Y. Takahashi,",http://dx.doi.org/10.2320/matertrans.47.1458,article-journal,Thermoelectric Properties of Cesium&ndash;Graphite Intercalation Compounds,MATERIALS TRANSACTIONS,6,1458
"Ken Kurosaki, Atsuko Kosuga, Keita Goto, Hiroaki Muta, Shinsuke Yamanaka,",Mater. Trans.,47,2006,1938-1940,Japan Institute of Metals,3976,10.2320/matertrans.47.1938,"K. Kurosaki, A. Kosuga, K. Goto, H. Muta, S. Yamanaka,",http://dx.doi.org/10.2320/matertrans.47.1938,article-journal,Compositional Difference of Thermoelectric Properties in Ag<SUB>9</SUB>TlTe<SUB>5</SUB>,MATERIALS TRANSACTIONS,8,1938
"Nittaya Keawprak, Rong Tu, Takashi Goto,",Mater. Trans.,48,2007,1529-1533,Japan Institute of Metals,3979,10.2320/matertrans.mra2007055,"N. Keawprak, R. Tu, T. Goto,",http://dx.doi.org/10.2320/matertrans.MRA2007055,article-journal,Preparations of CaRuO<SUB>3</SUB> Body by Plasma Sintering and Its Thermoelectric Properties,MATERIALS TRANSACTIONS,6,1529
"Takeyuki Sekimoto, Ken Kurosaki, Hiroaki Muta, Shinsuke Yamanaka,",Mater. Trans.,48,2007,2079-2082,Japan Institute of Metals,3981,10.2320/matertrans.e-mra2007807,"T. Sekimoto, K. Kurosaki, H. Muta, S. Yamanaka,",http://dx.doi.org/10.2320/matertrans.E-MRA2007807,article-journal,Thermoelectric Properties of Half-Heusler Type LaPdBi and GdPdBi,MATERIALS TRANSACTIONS,8,2079
"Ken Kurosaki, Keita Goto, Hiroaki Muta, Shinsuke Yamanaka,",Mater. Trans.,48,2007,2083-2087,Japan Institute of Metals,3982,10.2320/matertrans.e-mra2007837,"K. Kurosaki, K. Goto, H. Muta, S. Yamanaka,",http://dx.doi.org/10.2320/matertrans.E-MRA2007837,article-journal,Fabrication and Thermoelectric Properties of Ag<SUB>9</SUB>TlTe<I><SUB>X</SUB></I> (<I>X</I>=5.0&sim;6.0),MATERIALS TRANSACTIONS,8,2083
"Lihua Zhang, Tsuyoshi Tosho, Noriyuki Okinaka, Tomohiro Akiyama,",Mater. Trans.,48,2007,2088-2093,Japan Institute of Metals,3983,10.2320/matertrans.e-mra2007836,"L. Zhang, T. Tosho, N. Okinaka, T. Akiyama,",http://dx.doi.org/10.2320/matertrans.E-MRA2007836,article-journal,"Thermoelectric Properties of Combustion Synthesized and Spark Plasma Sintered Sr<SUB>1&minus;<I>x</I></SUB>R<I><SUB>x</SUB></I>TiO<SUB>3</SUB> (R = Y, La, Sm, Gd, Dy, 0<<I>x</I>&le;0.1)",MATERIALS TRANSACTIONS,8,2088
"Kotaro Sotojima, Ryosuke O. Suzuki, Koji Amezawa, Yoichi Tomii,",Mater. Trans.,48,2007,2094-2099,Japan Institute of Metals,3984,10.2320/matertrans.e-mra2007856,"K. Sotojima, R. Suzuki, K. Amezawa, Y. Tomii,",http://dx.doi.org/10.2320/matertrans.E-MRA2007856,article-journal,Thermoelectric Properties and Phase Transition of (Zn<I><SUB>x</SUB></I>Cu<SUB>2&minus;<I>x</I></SUB>)V<SUB>2</SUB>O<SUB>7</SUB>,MATERIALS TRANSACTIONS,8,2094
"H. K. Kim, T. Nakayama, J. Shimizu, K. Kimura,",Mater. Trans.,49,2008,593-599,Japan Institute of Metals,3987,10.2320/matertrans.e-mra2007890,"H. Kim, T. Nakayama, J. Shimizu, K. Kimura,",http://dx.doi.org/10.2320/matertrans.E-MRA2007890,article-journal,Effects of Metal Doping on Thermoelectric Properties of Arc-Melted and Hot-Pressed &beta;-Rhombohedral Boron,MATERIALS TRANSACTIONS,3,593
"Nittaya Keawprak, Rong Tu, Takashi Goto,",Mater. Trans.,49,2008,600-604,Japan Institute of Metals,3988,10.2320/matertrans.mra2007230,"N. Keawprak, R. Tu, T. Goto,",http://dx.doi.org/10.2320/matertrans.MRA2007230,article-journal,Thermoelectric Properties of Sr-Ru-O Compounds Prepared by Spark Plasma Sintering,MATERIALS TRANSACTIONS,3,600
"Yasuhiro Ohba, Toshitada Shimozaki, Hidenori Era,",Mater. Trans.,49,2008,1235-1241,Japan Institute of Metals,3990,10.2320/matertrans.mra2007232,"Y. Ohba, T. Shimozaki, H. Era,",http://dx.doi.org/10.2320/matertrans.MRA2007232,article-journal,"Thermoelectric Properties of Silicon Carbide Sintered with Addition of Boron Carbide, Carbon, and Alumina",MATERIALS TRANSACTIONS,6,1235
"Ken Kurosaki, Atsuko Kosuga, Anek Charoenphakdee, Hideaki Matsumoto, Hiroaki Muta, Shinsuke Yamanaka,",Mater. Trans.,49,2008,1728-1730,Japan Institute of Metals,3992,10.2320/matertrans.e-mra2008815,"K. Kurosaki, A. Kosuga, A. Charoenphakdee, H. Matsumoto, H. Muta, S. Yamanaka,",http://dx.doi.org/10.2320/matertrans.E-MRA2008815,article-journal,Thermoelectric Properties of Tl<SUB>8</SUB>GeTe<SUB>5</SUB> with Low Thermal Conductivity,MATERIALS TRANSACTIONS,8,1728
"Shigeru Katsuyama, Hiroshi Okada, Katsuhito Miyajima,",Mater. Trans.,49,2008,1731-1736,Japan Institute of Metals,3993,10.2320/matertrans.e-mra2008819,"S. Katsuyama, H. Okada, K. Miyajima,",http://dx.doi.org/10.2320/matertrans.E-MRA2008819,article-journal,Thermoelectric Properties of CeFe<SUB>3</SUB>CoSb<SUB>12</SUB>-MoO<SUB>2</SUB> Composite,MATERIALS TRANSACTIONS,8,1731
"Kohsuke Hashimoto, Ken Kurosaki, Hiroaki Muta, Shinsuke Yamanaka,",Mater. Trans.,49,2008,1737-1740,Japan Institute of Metals,3994,10.2320/matertrans.e-mra2008818,"K. Hashimoto, K. Kurosaki, H. Muta, S. Yamanaka,",http://dx.doi.org/10.2320/matertrans.E-MRA2008818,article-journal,Thermoelectric Properties of La-Doped BaSi<SUB>2</SUB>,MATERIALS TRANSACTIONS,8,1737
"Mikio Ito, Naoto Ohira,",Mater. Trans.,49,2008,1844-1847,Japan Institute of Metals,3995,10.2320/matertrans.mra2007322,"M. Ito, N. Ohira,",http://dx.doi.org/10.2320/matertrans.MRA2007322,article-journal,Synthesis of Y-Doped n-Type SrTiO<SUB>3</SUB> Thermoelectric Oxides by Polymerized Complex Process,MATERIALS TRANSACTIONS,8,1844
"Hiroyuki Nakayama, Naoki Ide, Yoichi Nishino,",Mater. Trans.,49,2008,1858-1862,Japan Institute of Metals,3996,10.2320/matertrans.mra2008078,"H. Nakayama, N. Ide, Y. Nishino,",http://dx.doi.org/10.2320/matertrans.MRA2008078,article-journal,Thermoelectric Properties of P-Type Heusler Compounds (Fe<SUB>2&minus;<I>x</I></SUB>Co<I><SUB>x</SUB></I>)(V<SUB>1&minus;<I>y</I></SUB>Ti<I><SUB>y</SUB></I>)Al,MATERIALS TRANSACTIONS,8,1858
"Lihua Zhang, Tsuyoshi Tosho, Noriyuki Okinaka, Tomohiro Akiyama,",Mater. Trans.,49,2008,2868-2874,Japan Institute of Metals,3997,10.2320/matertrans.maw200801,"L. Zhang, T. Tosho, N. Okinaka, T. Akiyama,",http://dx.doi.org/10.2320/matertrans.MAW200801,article-journal,Thermoelectric Properties of Solution Combustion Synthesized Al-Doped ZnO,MATERIALS TRANSACTIONS,12,2868
"Takeshi Eto, Kengo Kishimoto, Kenji Koga, Koji Akai, Tsuyoshi Koyanagi, Hiroaki Anno, Terumitsu Tanaka, Hiroki Kurisu, Setsuo Yamamoto, Mitsuru Matsuura,",Mater. Trans.,50,2009,631-639,Japan Institute of Metals,3998,10.2320/matertrans.e-mra2008846,"T. Eto, K. Kishimoto, K. Koga, K. Akai, T. Koyanagi, H. Anno, T. Tanaka, H. Kurisu, S. Yamamoto, M. Matsuura,",http://dx.doi.org/10.2320/matertrans.E-MRA2008846,article-journal,Study of Zn-Substituted Germanium Clathrates as High Performance Thermoelectric Materials Assisted by First-Principles Electronic Structure Calculation,MATERIALS TRANSACTIONS,3,631
"Hideaki Matsumoto, Ken Kurosaki, Hiroaki Muta, Shinsuke Yamanaka,",Mater. Trans.,50,2009,1582-1585,Japan Institute of Metals,4001,10.2320/matertrans.e-m2009803,"H. Matsumoto, K. Kurosaki, H. Muta, S. Yamanaka,",http://dx.doi.org/10.2320/matertrans.E-M2009803,article-journal,Thermoelectric Properties of the Thallium-Tellurium Binary Compounds,MATERIALS TRANSACTIONS,7,1582
"Takashi Hamachiyo, Maki Ashida, Kazuhiro Hasezaki, Hirotaka Matsunoshita, Masaaki Kai, Zenji Horita,",Mater. Trans.,50,2009,1592-1595,Japan Institute of Metals,4003,10.2320/matertrans.e-m2009807,"T. Hamachiyo, M. Ashida, K. Hasezaki, H. Matsunoshita, M. Kai, Z. Horita,",http://dx.doi.org/10.2320/matertrans.E-M2009807,article-journal,Thermoelectric Properties of Bi<SUB>2</SUB>Te<SUB>3</SUB>-Related Materials Finely Grained by Mechanical Alloying and High Pressure Torsion,MATERIALS TRANSACTIONS,7,1592
"Michihiro Ohta, Haruhiko Obara, Atsushi Yamamoto,",Mater. Trans.,50,2009,2129-2133,Japan Institute of Metals,4005,10.2320/matertrans.maw200918,"M. Ohta, H. Obara, A. Yamamoto,",http://dx.doi.org/10.2320/matertrans.MAW200918,article-journal,Preparation and Thermoelectric Properties of Chevrel-Phase Cu<I><SUB>x</SUB></I>Mo<SUB>6</SUB>S<SUB>8</SUB> (2.0&le;<I>x</I>&le;4.0),MATERIALS TRANSACTIONS,9,2129
"Takashi Ueda, Chinatsu Okamura, Yasutoshi Noda, Kazuhiro Hasezaki,",Mater. Trans.,50,2009,2473-2475,Japan Institute of Metals,4007,10.2320/matertrans.m2009201,"T. Ueda, C. Okamura, Y. Noda, K. Hasezaki,",http://dx.doi.org/10.2320/matertrans.M2009201,article-journal,Effect of Tellurium Doping on the Thermoelectric Properties of ZnSb,MATERIALS TRANSACTIONS,10,2473
"Asami Kikuchi, Lihua Zhang, Noriyuki Okinaka, Tsuyoshi Tosho, Tomohiro Akiyama,",Mater. Trans.,50,2009,2675-2679,Japan Institute of Metals,4008,10.2320/matertrans.m2009225,"A. Kikuchi, L. Zhang, N. Okinaka, T. Tosho, T. Akiyama,",http://dx.doi.org/10.2320/matertrans.M2009225,article-journal,Effects of Sintering Temperature on Thermoelectric Device of La-Doped Strontium Titanate in the Combination of Combustion Synthesis and Spark Plasma Sintering,MATERIALS TRANSACTIONS,11,2675
"Chinatsu Okamura, Takashi Ueda, Kazuhiro Hasezaki,",Mater. Trans.,51,2010,152-155,Japan Institute of Metals,4009,10.2320/matertrans.m2009199,"C. Okamura, T. Ueda, K. Hasezaki,",http://dx.doi.org/10.2320/matertrans.M2009199,article-journal,Preparation of Single Phase &beta;-Zn<SUB>4</SUB>Sb<SUB>3</SUB> Thermoelectric Materials by Mechanical Grinding Process,MATERIALS TRANSACTIONS,1,152
"Weijun Luo, Meijun Yang, Fei Chen, Qiang Shen, Hongyi Jiang, Lianmeng Zhang,",Mater. Trans.,51,2010,288-291,Japan Institute of Metals,4010,10.2320/matertrans.mc200908,"W. Luo, M. Yang, F. Chen, Q. Shen, H. Jiang, L. Zhang,",http://dx.doi.org/10.2320/matertrans.MC200908,article-journal,Preparation and Thermoelectric Properties of Bi-Doped Mg<SUB>2</SUB>Si<SUB>0.8</SUB>Sn<SUB>0.2</SUB> Compound,MATERIALS TRANSACTIONS,2,288
"Hideki Hashimoto, Takafumi Kusunose, Tohru Sekino,",Mater. Trans.,51,2010,404-407,Japan Institute of Metals,4011,10.2320/matertrans.m2009335,"H. Hashimoto, T. Kusunose, T. Sekino,",http://dx.doi.org/10.2320/matertrans.M2009335,article-journal,Effects of Strontium Ion Doping on the Thermoelectric Properties of Dysprosium Cobalt Oxide,MATERIALS TRANSACTIONS,2,404
"Tsunehiro Takeuchi, Yasuhiro Toyama, Akio Yamamoto, Hirofumi Hazama, Ryoji Asahi,",Mater. Trans.,51,2010,1127-1135,Japan Institute of Metals,4013,10.2320/matertrans.m2010022,"T. Takeuchi, Y. Toyama, A. Yamamoto, H. Hazama, R. Asahi,",http://dx.doi.org/10.2320/matertrans.M2010022,article-journal,Thermoelectric Properties of Si<SUB>2</SUB>Ti-Type Al-Mn-Si Alloys,MATERIALS TRANSACTIONS,6,1127
"Asami Kikuchi, Lihua Zhang, Noriyuki Okinaka, Tsuyoshi Tosho, Tomohiro Akiyama,",Mater. Trans.,51,2010,1919-1922,Japan Institute of Metals,4015,10.2320/matertrans.m2010102,"A. Kikuchi, L. Zhang, N. Okinaka, T. Tosho, T. Akiyama,",http://dx.doi.org/10.2320/matertrans.M2010102,article-journal,Optimization of Sintering Temperature for Maximizing Dimensionless Figure of Merit of La-Doped Strontium Titanate Thermoelectric Material in the Combination of Combustion Synthesis with Post Spark Plasma Sintering,MATERIALS TRANSACTIONS,10,1919
"Hongki Kim, Kaoru Kimura,",Mater. Trans.,52,2011,41-48,Japan Institute of Metals,4017,10.2320/matertrans.m2010272,"H. Kim, K. Kimura,",http://dx.doi.org/10.2320/matertrans.M2010272,article-journal,Vanadium Concentration Dependence of Thermoelectric Properties of &beta;-Rhombohedral Boron Prepared by Spark Plasma Sintering,MATERIALS TRANSACTIONS,1,41
"Hirotaka Nishiate, Michihiro Ohta, Atsushi Yamamoto, Haruhiko Obara, Chul-Ho Lee, Kazuo Ueno,",Mater. Trans.,52,2011,1535-1538,Japan Institute of Metals,4018,10.2320/matertrans.e-m2011808,"H. Nishiate, M. Ohta, A. Yamamoto, H. Obara, C. Lee, K. Ueno,",http://dx.doi.org/10.2320/matertrans.E-M2011808,article-journal,Preparation of Single-Phase Pb-Filled Chevrel-Phase Sulfide and Its Thermoelectric Properties,MATERIALS TRANSACTIONS,8,1535
"Masashi Mikami, Keizo Kobayashi, Suguru Tanaka,",Mater. Trans.,52,2011,1546-1548,Japan Institute of Metals,4019,10.2320/matertrans.e-m2011807,"M. Mikami, K. Kobayashi, S. Tanaka,",http://dx.doi.org/10.2320/matertrans.E-M2011807,article-journal,Power Generation Performance of Thermoelectric Module Consisting of Sb-Doped Heusler Fe<SUB>2</SUB>VAl Sintered Alloy,MATERIALS TRANSACTIONS,8,1546
"Yun Lu, Katsuhiro Sagara, Liang Hao, Ziwu Ji, Hiroyuki Yoshida,",Mater. Trans.,53,2012,1208-1211,Japan Institute of Metals,4021,10.2320/matertrans.e-m2012808,"Y. Lu, K. Sagara, L. Hao, Z. Ji, H. Yoshida,",http://dx.doi.org/10.2320/matertrans.E-M2012808,article-journal,Fabrication of Non-Stoichiometric Titanium Dioxide by Spark Plasma Sintering and Its Thermoelectric Properties,MATERIALS TRANSACTIONS,7,1208
"Theerayuth Plirdpring, Ken Kurosaki, Atsuko Kosuga, Manabu Ishimaru, Adul Harnwunggmoung, Tohru Sugahara, Yuji Ohishi, Hiroaki Muta, Shinsuke Yamanaka,",Mater. Trans.,53,2012,1212-1215,Japan Institute of Metals,4022,10.2320/matertrans.e-m2012810,"T. Plirdpring, K. Kurosaki, A. Kosuga, M. Ishimaru, A. Harnwunggmoung, T. Sugahara, Y. Ohishi, H. Muta, S. Yamanaka,",http://dx.doi.org/10.2320/matertrans.E-M2012810,article-journal,Effect of the Amount of Vacancies on the Thermoelectric Properties of Cu&ndash;Ga&ndash;Te Ternary Compounds,MATERIALS TRANSACTIONS,7,1212
"Do-young Jung, Ken Kurosaki, Yuji Ohishi, Hiroaki Muta, Shinsuke Yamanaka,",Mater. Trans.,53,2012,1216-1219,Japan Institute of Metals,4023,10.2320/matertrans.e-m2012815,"D. Jung, K. Kurosaki, Y. Ohishi, H. Muta, S. Yamanaka,",http://dx.doi.org/10.2320/matertrans.E-M2012815,article-journal,Effect of Phase Transition on the Thermoelectric Properties of Ag<sub>2</sub>Te,MATERIALS TRANSACTIONS,7,1216
"H. Anno, K. Okita, K. Koga, S. Harima, T. Nakabayashi, M. Hokazono, K. Akai,",Mater. Trans.,53,2012,1220-1225,Japan Institute of Metals,4024,10.2320/matertrans.e-m2012816,"H. Anno, K. Okita, K. Koga, S. Harima, T. Nakabayashi, M. Hokazono, K. Akai,",http://dx.doi.org/10.2320/matertrans.E-M2012816,article-journal,Effect of Europium Substitution on Thermoelectric Properties of Noble-Metal Silicon Clathrates with Ba<sub>8&minus;</sub><i><sub>x</sub></i>Eu<i><sub>x</sub></i>Cu<i><sub>y</sub></i>Si<sub>46&minus;</sub><i><sub>y</sub></i> Nominal Compositions,MATERIALS TRANSACTIONS,7,1220
"Takashi Itoh, Masaki Matsuhara,",Mater. Trans.,53,2012,1801-1805,Japan Institute of Metals,4026,10.2320/matertrans.e-m2012821,"T. Itoh, M. Matsuhara,",http://dx.doi.org/10.2320/matertrans.E-M2012821,article-journal,Influence of Addition of Alumina Nanoparticles on Thermoelectric Properties of La-Filled Skutterudite CoSb<sub>3</sub> Compounds,MATERIALS TRANSACTIONS,10,1801
